mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.15,0.2,1,max,0.1898124164321282,0.1898124164321282,0.14548842080070512,0.1728653306797837,0.15932064525414907,0.15932064525414907,0.08613648564699529,0.1988700380770591,0.17395594601476955,0.20057901039165826,-0.014635300760620473,-0.0017089723145991553
mcar,0.15,0.2,2,max,0.1679663517068624,0.1679663517068624,0.11241830637471624,0.1294092861133332,0.07437000786147942,0.05789779326364697,0.07437000786147942,0.1764681118000328,0.07661108357782327,0.17644671702326686,-0.0022410757163438544,2.1394776765937262e-05
mcar,0.15,0.2,3,max,0.18918797084794708,0.18918797084794708,0.12023032233029766,0.14705530218546398,0.12712713963588707,0.12712713963588707,0.07894113719262826,0.18598936996596338,0.11965993535272756,0.18525129685664715,0.007467204283159501,0.0007380731093162285
mcar,0.15,0.2,4,max,0.18556979674915178,0.18556979674915178,0.10594835055407173,0.14758925950587753,0.12132482519470178,0.12132482519470178,0.08004124212610854,0.18796912736215543,0.1134614291399011,0.1869536660440636,0.007863396054800686,0.001015461318091826
mcar,0.15,0.2,5,max,0.14957706919673958,0.14957706919673958,0.08628858441631267,0.11214481575977298,0.11390398203191254,0.11390398203191254,0.0809668534215505,0.1856207610623968,0.11024870934443298,0.18621366304703588,0.0036552726874795605,-0.0005929019846390715
mcar,0.15,0.2,6,max,0.19864000088914574,0.19864000088914574,0.1523586838370873,0.16975488401919556,0.14358867698010674,0.14358867698010674,0.08799884659605682,0.19369251310124824,0.13632881198858432,0.18928931635378632,0.0072598649915224245,0.004403196747461924
mcar,0.15,0.2,7,max,0.1955927538108594,0.1955927538108594,0.11678521645424837,0.14246510721366684,0.07952614074613629,0.07952614074613629,0.07210532395445121,0.17874325197329272,0.09146861360030267,0.18224637246078185,-0.011942472854166386,-0.003503120487489131
mcar,0.15,0.2,8,max,0.13789400869228843,0.13789400869228843,0.08870004778483173,0.10723160657841603,0.1241192082944782,0.1241192082944782,0.08772213734327886,0.19195423065043676,0.11287514691357348,0.19050189971410245,0.011244061380904724,0.0014523309363343173
mcar,0.15,0.2,9,max,0.18254950624724675,0.18254950624724675,0.1226516734567066,0.1391259669757619,0.14917968496901868,0.14917968496901868,0.07845372039030409,0.18726363825362802,0.1401932199112676,0.18504119216541454,0.00898646505775108,0.002222446088213481
mcar,0.15,0.3,0,max,0.28266640448333497,0.28266640448333497,0.17317864516763345,0.22902815136961296,0.14252471227535857,0.14252471227535857,0.07754777836109696,0.18372161476658383,0.10596406781919843,0.17941084217628853,0.03656064445616014,0.004310772590295303
mcar,0.15,0.3,1,max,0.28471207249342295,0.28471207249342295,0.2182207931404073,0.25930745104414726,0.16502391470422156,0.16502391470422156,0.08667755126148446,0.2004427668407502,0.17395594601476955,0.20057901039165826,-0.008932031310547983,-0.00013624355090807727
mcar,0.15,0.3,2,max,0.25192776964372865,0.25192776964372865,0.1686090775988287,0.1940815539712383,0.07521281766536467,0.06062717770034842,0.07521281766536467,0.17733489603937824,0.07661108357782327,0.17644671702326686,-0.0013982659124586044,0.000888179016111379
mcar,0.15,0.3,3,max,0.2837029893924783,0.2837029893924783,0.180327868852459,0.22055328255611878,0.14089661990291807,0.14089661990291807,0.07820950078677458,0.18777983896086348,0.11965993535272756,0.18525129685664715,0.02123668455019051,0.0025285421042163247
mcar,0.15,0.3,4,max,0.27837758972862564,0.27837758972862564,0.15893395584087153,0.2213824577118586,0.11216531180717415,0.11216531180717415,0.07873550654604335,0.18616475660635234,0.1134614291399011,0.1869536660440636,-0.0012961173327269426,-0.0007889094377112604
mcar,0.15,0.3,5,max,0.22424064850083017,0.22424064850083017,0.12938763551128038,0.16815468397096828,0.12960737513653897,0.12960737513653897,0.08236688634155044,0.18931628112643056,0.11024870934443298,0.18621366304703588,0.01935866579210599,0.0031026180793946867
mcar,0.15,0.3,6,max,0.2979699394885809,0.2979699394885809,0.22853796603552606,0.2546407904330377,0.15615752393188492,0.15615752393188492,0.08723917296484855,0.1950519772946702,0.13632881198858432,0.18928931635378632,0.019828711943300603,0.005762660940883874
mcar,0.15,0.3,7,max,0.293395675043834,0.293395675043834,0.1751996882914475,0.21373266940590133,0.08838841551900345,0.08838841551900345,0.07178634468810353,0.18007720459588533,0.09146861360030267,0.18224637246078185,-0.0030801980812992236,-0.002169167864896515
mcar,0.15,0.3,8,max,0.2069066147859922,0.2069066147859922,0.13303501945525292,0.16085468251917928,0.12635532944506678,0.12635532944506678,0.08785486765454974,0.19328135765706547,0.11287514691357348,0.19050189971410245,0.013480182531493301,0.002779457942963026
mcar,0.15,0.3,9,max,0.27378167641325535,0.27378167641325535,0.18391812865497076,0.2086550430719677,0.13823169338530422,0.13823169338530422,0.07733731917588037,0.18511188279035132,0.1401932199112676,0.18504119216541454,-0.001961526525963375,7.069062493678113e-05
mcar,0.3,0.0,0,max,5.562121020441513e-05,5.562121020441513e-05,2.6494440871929757e-05,2.8136481935821013e-05,0.12231980176610047,0.12231980176610047,0.08344274603854168,0.18339011088880486,0.12231980176610047,0.18339011088880486,0.0,0.0
mcar,0.3,0.0,1,max,4.613609708642441e-05,4.613609708642441e-05,2.7013916931602905e-05,2.8495086398372937e-05,0.1434633141794267,0.1434633141794267,0.08817471040333119,0.19624947389636793,0.1434633141794267,0.19624947389636793,0.0,0.0
mcar,0.3,0.0,2,max,4.855354875152318e-05,4.855354875152318e-05,2.825223864912907e-05,2.8010078666329857e-05,0.07693896203072877,0.048838559814169624,0.07693896203072877,0.17573775623511084,0.07693896203072877,0.17573775623511084,0.0,0.0
mcar,0.3,0.0,3,max,2.9040602250451908e-05,2.9040602250451908e-05,1.6509197285588528e-05,1.850490517179104e-05,0.13366823286347435,0.13366823286347435,0.07763257922351022,0.18417956226475513,0.13366823286347435,0.18417956226475513,0.0,0.0
mcar,0.3,0.0,4,max,3.638289925644855e-05,3.638289925644855e-05,1.2141285205286011e-05,1.566424654139845e-05,0.10754220908419077,0.10754220908419077,0.07822582255012082,0.18343341169211658,0.10754220908419077,0.18343341169211658,0.0,0.0
mcar,0.3,0.0,5,max,4.269001860393584e-05,4.269001860393584e-05,2.8020996721497827e-05,2.863945029716589e-05,0.10966818958574243,0.10966818958574243,0.08294116105708407,0.1858598825142217,0.10966818958574243,0.1858598825142217,0.0,0.0
mcar,0.3,0.0,6,max,5.3096187927120786e-05,5.3096187927120786e-05,2.2671757688591532e-05,2.0114674199247084e-05,0.14394015185820952,0.14394015185820952,0.08833655605574851,0.19084101057876524,0.14394015185820952,0.19084101057876524,0.0,0.0
mcar,0.3,0.0,7,max,3.452053082156348e-05,3.452053082156348e-05,2.176068606485615e-05,2.1677780649738184e-05,0.08177347133524193,0.08177347133524193,0.07251894319372418,0.17650742106891049,0.08177347133524193,0.17650742106891049,0.0,0.0
mcar,0.3,0.0,8,max,5.9867567752065753e-05,5.9867567752065753e-05,3.343117846496407e-05,3.1071724393248525e-05,0.10883605824674858,0.10883605824674858,0.08878853151588988,0.18795691143511073,0.10883605824674858,0.18795691143511073,0.0,0.0
mcar,0.3,0.0,9,max,5.209265796465856e-05,5.209265796465856e-05,3.6066250380958896e-05,3.3284456666111964e-05,0.14093527167074182,0.14093527167074182,0.0836714399363564,0.18780469437107072,0.14093527167074182,0.18780469437107072,0.0,0.0
