mechanism,n,mean_statistic,mean_eo_gap_delta,pearson_r,spearman_r
mar,150,0.1071182528691584,0.00533350163781468,0.441444630136855,0.5106823700909895
mcar,150,0.1071182528691584,0.003625822221624203,0.3393965109405963,0.29347804311194686
mnar,150,0.1071182528691584,0.01471246936662963,0.5197638445788447,0.6113094585596635
