mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.05,0.0,0,max,0.0004400807827845757,0.0004400807827845757,0.0002474542633585642,0.00021221536705626556,0.0003248340677460386,0.33031828299943516,0.33031828299943516,0.1948748441324528,0.29716853628868767,0.33031828299943516,0.29716853628868767,0.0,0.0
mcar,0.05,0.0,1,max,0.0005198625456487079,0.0005198625456487079,0.00025215476595775966,0.00019803975507603623,0.00014838864532093601,0.40547171929374404,0.40547171929374404,0.2351587192524392,0.34490807126197076,0.40547171929374404,0.34490807126197076,0.0,0.0
mcar,0.05,0.0,2,max,0.0004384254307583449,0.0004384254307583449,0.00027751625099993774,0.00026136788291655305,0.00031610141002571493,0.29222151764954557,0.29222151764954557,0.17364985908100278,0.2681938559322034,0.29222151764954557,0.2681938559322034,0.0,0.0
mcar,0.05,0.0,3,max,0.0003464943010564048,0.0003464943010564048,0.0001201710800306937,0.0001599937131795156,0.00014455106773281876,0.2825858585858586,0.2825858585858586,0.18584794518981115,0.26984316535307695,0.2825858585858586,0.26984316535307695,0.0,0.0
mcar,0.05,0.0,4,max,0.0004448095411950844,0.0004448095411950844,0.00021394669587440645,0.0001507482987089933,0.0001179598654097989,0.32263057366791803,0.32263057366791803,0.1560221083725653,0.263448275862069,0.32263057366791803,0.263448275862069,0.0,0.0
mcar,0.05,0.0,5,max,0.00044745179094785037,0.00044745179094785037,0.0002459007666908493,0.0002721405188989568,0.00019532610493589863,0.24816378218657664,0.24816378218657664,0.14569775849602315,0.23786669542709232,0.24816378218657664,0.23786669542709232,0.0,0.0
mcar,0.05,0.0,6,max,0.0003672443687414567,0.0003672443687414567,0.00015917996348943295,0.00013511498029883802,0.00012062348178121216,0.31061899419540506,0.31061899419540506,0.2137904159359993,0.29268048929989604,0.31061899419540506,0.29268048929989604,0.0,0.0
mcar,0.05,0.0,7,max,0.00044233050775920393,0.00044233050775920393,0.00025195342176874034,0.000192632163782461,0.00014747017701948771,0.27788275073342944,0.27788275073342944,0.15511399169935752,0.2672127255460589,0.27788275073342944,0.2672127255460589,0.0,0.0
mcar,0.05,0.0,8,max,0.00047499620003040033,0.00047499620003040033,0.00039299040446386135,0.00038175642667242636,0.0003649787615105684,0.37767908400841993,0.37767908400841993,0.23283539377289378,0.3346441386817721,0.37767908400841993,0.3346441386817721,0.0,0.0
mcar,0.05,0.0,9,max,0.000261720276317632,0.000261720276317632,0.00014965976364078696,0.00013059870545846888,0.00018629430431516193,0.3203020189129937,0.3203020189129937,0.21685890435890437,0.30738265641284,0.3203020189129937,0.30738265641284,0.0,0.0
