mechanism,n,mean_statistic,mean_eo_gap_delta,pearson_r,spearman_r
mar,150,0.10717062870834897,-0.005771209156383333,-0.06888313940847496,-0.2241510300494006
mcar,150,0.10717062870834897,-0.01881324226352813,-0.519943227185472,-0.5658296958158164
mnar,150,0.10717062870834897,-0.020850654774337958,-0.5320582434274792,-0.6079257813538949
