mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.05,0.0,0,max,0.0041617507876210574,0.0041617507876210574,0.0019810452347305226,0.002464119485031957,0.002666018121079179,0.1513342696629213,0.1513342696629213,0.09730848861283647,0.10083263310671453,0.1513342696629213,0.10083263310671453,0.0,0.0
mcar,0.05,0.0,1,max,0.0034782608695652154,0.0034782608695652154,0.0023652173913043485,0.002260869565217393,0.0025019121563210796,0.17778472113732235,0.17778472113732235,0.0518433179723502,0.14959083469721768,0.17778472113732235,0.14959083469721768,0.0,0.0
mcar,0.05,0.0,2,max,0.0040890504316219885,0.0040890504316219885,0.0021000555303145024,0.0018590807517918555,0.0018803114485727724,0.1562443683546585,0.1562443683546585,0.1087832393231265,0.1617063492063493,0.1562443683546585,0.1617063492063493,0.0,0.0
mcar,0.05,0.0,3,max,0.004206730769230768,0.004206730769230768,0.0017919580419580405,0.0011655011655011635,0.001455876396345694,0.15856897359787525,0.15856897359787525,0.006153846153846176,0.15112496611547843,0.15856897359787525,0.15112496611547843,0.0,0.0
mcar,0.05,0.0,4,max,0.003976254480286738,0.003976254480286738,0.0026433691756272398,0.0026131034088309303,0.0027351230945738617,0.09195402298850575,0.09195402298850575,0.0,0.13442113442113446,0.09195402298850575,0.13442113442113446,0.0,0.0
mcar,0.05,0.0,5,max,0.0035316266095010377,0.0035316266095010377,0.002459771062648583,0.0027639215255161175,0.0024357721748538026,0.2571428571428571,0.2571428571428571,0.055299539170506895,0.18585493269037578,0.2571428571428571,0.18585493269037578,0.0,0.0
mcar,0.05,0.0,6,max,0.0035714285714285726,0.0035714285714285726,0.0017857142857142859,0.0016524520255863542,0.002381979100809602,0.21666666666666667,0.21666666666666667,0.0071428571428571175,0.17200000000000004,0.21666666666666667,0.17200000000000004,0.0,0.0
mcar,0.05,0.0,7,max,0.003841229193341865,0.003841229193341865,0.0021020059752454106,0.002097568911820758,0.0025642978017528994,0.11428571428571421,0.11428571428571421,0.0304996755353667,0.12097463664861785,0.11428571428571421,0.12097463664861785,0.0,0.0
mcar,0.05,0.0,8,max,0.003408718452966239,0.003408718452966239,0.0014814814814814808,0.0018584496460602642,0.0005302912178204557,0.271978021978022,0.271978021978022,0.2698412698412698,0.11873840445269013,0.271978021978022,0.11873840445269013,0.0,0.0
mcar,0.05,0.0,9,max,0.0035714285714285726,0.0035714285714285726,0.002857142857142857,0.002903871829105474,0.0020707901613616496,0.19356187290969906,0.19356187290969906,0.17424242424242425,0.248,0.19356187290969906,0.248,0.0,0.0
mcar,0.05,0.05,0,max,0.04990211458427869,0.04990211458427869,0.02812617494911255,0.03788416432123102,0.0250441292330253,0.14492753623188404,0.1400983146067416,0.14492753623188404,0.07386754258650985,0.1513342696629213,0.10083263310671453,-0.006406733431037259,-0.026965090520204682
mcar,0.05,0.05,1,max,0.049391304347826084,0.049391304347826084,0.03791304347826087,0.04506146926536731,0.04338782530206507,0.15653804093110446,0.15653804093110446,0.0714285714285714,0.12733224222585926,0.17778472113732235,0.14959083469721768,-0.021246680206217894,-0.022258592471358418
mcar,0.05,0.05,2,max,0.04187490534605482,0.04187490534605482,0.027916603564036545,0.033132126089872566,0.038932089745222914,0.1506577761758875,0.1506577761758875,0.12248186946011286,0.1617063492063493,0.1562443683546585,0.1617063492063493,-0.005586592178770999,0.0
mcar,0.05,0.05,3,max,0.04758522727272727,0.04758522727272727,0.031490384615384615,0.03710457616707617,0.026260935776803496,0.17012966723949374,0.17012966723949374,0.006153846153846176,0.15952832746001622,0.15856897359787525,0.15112496611547843,0.011560693641618491,0.008403361344537785
mcar,0.05,0.05,4,max,0.05001120071684588,0.05001120071684588,0.025515232974910394,0.03658750289050757,0.041504763991967016,0.09195402298850575,0.09195402298850575,0.033333333333333326,0.14296814296814297,0.09195402298850575,0.13442113442113446,0.0,0.008547008547008517
mcar,0.05,0.05,5,max,0.03766610325541768,0.03766610325541768,0.021901581674018494,0.028463287391851874,0.02811690611526729,0.23428571428571432,0.23428571428571432,0.0910138248847926,0.1583283102270444,0.2571428571428571,0.18585493269037578,-0.022857142857142798,-0.027526622463331374
