mechanism,n,mean_statistic,mean_eo_gap_delta,pearson_r,spearman_r
mar,150,0.10837991573575571,0.0007173067707490574,-0.01643335011312941,0.040320320027866376
mcar,150,0.10837991573575571,0.0006056643943076179,0.0057061930220013045,-0.022128581818564395
mnar,150,0.10837991573575571,-0.004349207738774106,-0.035565741467575955,-0.10910479606527206
